Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",114.150000,-133.850000,0.000000,top
"C2","1u","C_0402_1005Metric",96.350000,-111.300000,90.000000,top
"C3","100p","C_0402_1005Metric",124.400000,-133.700000,180.000000,top
"C4","1u","C_0402_1005Metric",96.350000,-107.350000,-90.000000,top
"C5","100n","C_0603_1608Metric",95.425000,-105.650000,180.000000,top
"C6","100n","C_0603_1608Metric",59.350000,-154.525000,90.000000,top
"C7","100n","C_0603_1608Metric",64.000000,-154.550000,90.000000,top
"C8","10u@50V","C_0805_2012Metric",100.700000,-90.750000,180.000000,top
"C9","10u","C_1206_3216Metric",105.300000,-69.600000,0.000000,top
"C10","10u","C_1206_3216Metric",105.302651,-72.100000,0.000000,top
"C11","100n","C_0603_1608Metric",115.590000,-89.875000,-90.000000,top
"C12","10u","C_0805_2012Metric",96.700000,-85.450000,180.000000,top
"C13","10u","C_1206_3216Metric",89.450000,-70.200000,-90.000000,top
"C14","10u","C_1206_3216Metric",87.050000,-70.200000,-90.000000,top
"C15","100n","C_0603_1608Metric",99.550000,-157.050000,-90.000000,top
"C16","1u","C_0402_1005Metric",89.400000,-146.270000,-90.000000,top
"C17","4n7","C_0402_1005Metric",128.400000,-74.000000,0.000000,top
"C18","1u","C_0402_1005Metric",131.420000,-74.150000,0.000000,top
"C19","1u","C_0402_1005Metric",112.250000,-91.910000,90.000000,top
"C20","1u","C_0402_1005Metric",52.030000,-133.750000,0.000000,top
"C21","100n","C_0603_1608Metric",121.150000,-134.700000,-90.000000,top
"C22","100p","C_0603_1608Metric",133.350000,-100.000000,90.000000,top
"C23","100n","C_0603_1608Metric",65.150000,-101.450000,-90.000000,top
"C24","10u","C_0603_1608Metric",61.700000,-89.150000,90.000000,top
"C25","10u","C_0603_1608Metric",61.750000,-85.950000,90.000000,top
"C26","10u@50V","C_0805_2012Metric",131.900000,-68.600000,90.000000,top
"C29","10u","C_0603_1608Metric",52.055000,-135.050000,180.000000,top
"C30","10u","C_0603_1608Metric",52.030000,-136.600000,180.000000,top
"C32","4n7","C_0402_1005Metric",101.650000,-141.050000,-90.000000,top
"C33","1u","C_0402_1005Metric",101.650000,-143.700000,-90.000000,top
"C34","100n","C_0603_1608Metric",131.600000,-71.950000,-90.000000,top
"C35","100n","C_0603_1608Metric",105.300000,-146.800000,180.000000,top
"C36","100n","C_0603_1608Metric",105.300000,-145.250000,180.000000,top
"C37","100p","C_0402_1005Metric",124.500000,-125.050000,180.000000,top
"C38","100p","C_0402_1005Metric",101.200000,-150.350000,180.000000,top
"C39","100n","C_0603_1608Metric",91.950000,-152.675000,90.000000,top
"C40","10u@50V","C_0805_2012Metric",90.150000,-152.625000,-90.000000,top
"C41","100n","C_0603_1608Metric",98.350000,-96.450000,180.000000,top
"C42","10u@50V","C_0805_2012Metric",104.900000,-93.000000,-90.000000,top
"C45","100n","C_0603_1608Metric",103.575000,-122.840000,0.000000,top
"C47","1u","C_0402_1005Metric",58.650000,-141.800000,90.000000,top
"D1","B5819W_SL","D_SOD-123",97.600000,-88.900000,-90.000000,top
"D2","1N5819WS","D_SOD-323",97.900000,-80.350000,0.000000,top
"D3","1N5819WS","D_SOD-323",92.950000,-80.400000,180.000000,top
"D4","SS54","D_SMA",128.900000,-100.600000,180.000000,top
"D5","LED_Small","LED_0805_2012Metric",53.150000,-110.450000,180.000000,top
"D6","LED_Small","LED_0805_2012Metric",53.150000,-108.450000,180.000000,top
"D7","SS54","D_SMA",95.200000,-157.200000,0.000000,top
"D8","ZMMxx","D_MiniMELF",62.200000,-143.250000,0.000000,top
"D9","ZMMxx","D_MiniMELF",56.750000,-144.100000,0.000000,top
"D11","green","LED_0805_2012Metric",57.400000,-82.900000,0.000000,top
